"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Projects\myselpost\Client\src\Components\AlertBox.js", "JavaScript", -20, 0, -6, -26
"d:\Projects\myselpost\Client\src\Components\Footer.js", "JavaScript", -33, 0, -7, -40
"d:\Projects\myselpost\Client\src\Components\Header.js", "JavaScript", -161, 0, -23, -184
"d:\Projects\myselpost\Client\src\Utils\ProtectedRoute.js", "JavaScript", 10, 2, 5, 17
"d:\Projects\myselpost\Client\src\Utils\supabaseClient.js", "JavaScript", 4, 1, 3, 8
"Total", "-", -200, 3, -28, -225
