"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\Projects\myselpost\Client\src\Utils\ProtectedRoute.js", "JavaScript", 10, 2, 5, 17
"d:\Projects\myselpost\Client\src\Utils\supabaseClient.js", "JavaScript", 4, 1, 3, 8
"Total", "-", 14, 3, 8, 25
